"Read Details","Perskaityti detales",module,Magento_AdminNotification
"Mark as Read","Pažymėti kaip perskaitytą",module,Magento_AdminNotification
"Are you sure?","Ar esate įsitikinę?",module,Magento_AdminNotification
Remove,Pašalinti,module,Magento_AdminNotification
"Messages Inbox","Gautos žinutės",module,Magento_AdminNotification
"You have %1 new system messages","Jūs turite %1 naujas sistemines žinutes",module,Magento_AdminNotification
"You have %1 new system message","Jūs turite %1 naują sisteminę žinutę",module,Magento_AdminNotification
"Incoming Message","Gautos žinutės",module,Magento_AdminNotification
close,uždaryti,module,Magento_AdminNotification
Notifications,Pranešimai,module,Magento_AdminNotification
"The message has been marked as Read.","Pranešimas buvo pažymėtas kaip perskaitytas.",module,Magento_AdminNotification
"1 Hour","1 val",module,Magento_AdminNotification
Close,Uždaryti,module,Magento_AdminNotification
"Credit Card Number","Kortelės numeris",module,Magento_Authorizenet
"Expiration Date","Galiojimo data",module,Magento_Authorizenet
"Card Verification Number","Kortelės patvirtinimo numeris",module,Magento_Authorizenet
Orders,Užsakymai,module,Magento_Backend
Amounts,Sumos,module,Magento_Backend
Bestsellers,Perkamiausi,module,Magento_Backend
"New Customers","Naujiems klientams",module,Magento_Backend
Customers,Klientai,module,Magento_Backend
Customer,Klientas,module,Magento_Backend
Guest,Svečias,module,Magento_Backend
Total,"Iš viso",module,Magento_Backend
Average,Vidurkis,module,Magento_Backend
Product,Produktas,module,Magento_Backend
Price,Kaina,module,Magento_Backend
Quantity,Kiekis,module,Magento_Backend
Views,Peržiūros,module,Magento_Backend
Revenue,Pajamos,module,Magento_Backend
Tax,Mokesčiai,module,Magento_Backend
Shipping,Pristatymas,module,Magento_Backend
"Images (.gif, .jpg, .png)","Vaizdai (.jpg, .gif, .png)",module,Magento_Backend
"All Files","Visi failai",module,Magento_Backend
"My Account","Mano paskyra",module,Magento_Backend
"Account Information","Mano Informacija",module,Magento_Backend
"First Name",Vardas,module,Magento_Backend
"Last Name",Pavardė,module,Magento_Backend
Email,"El. paštas",module,Magento_Backend
"New Password","Naujas slaptažodis",module,Magento_Backend
"Password Confirmation","Slaptažodžio patvirtinimas",module,Magento_Backend
"Your Password","Jūsų slaptažodis",module,Magento_Backend
"Images Cache","Vaizdų podėlis",module,Magento_Backend
Clear,Išvalyti,module,Magento_Backend
"Search Index","Paieškos indeksas",module,Magento_Backend
"All Cache","Visi podėliai",module,Magento_Backend
"No change","Jokių pokyčių",module,Magento_Backend
Back,Grįžti,module,Magento_Backend
Delete,Ištrinti,module,Magento_Backend
Save,Išsaugoti,module,Magento_Backend
Cancel,Atšaukti,module,Magento_Backend
Yes,Taip,module,Magento_Backend
No,Ne,module,Magento_Backend
"Delete Store","Ištrinti parduotuvę",module,Magento_Backend
"Save Store","Išsaugoti parduotuvę",module,Magento_Backend
"Edit Store","Redaguoti praduotuvę",module,Magento_Backend
"New Store","Nauja parduotuvė",module,Magento_Backend
"Edit Store View","Redaguoti parduotuvės rodinį",module,Magento_Backend
"New Store View","Naujas parduotuvės rodinys",module,Magento_Backend
Name,Vardas,module,Magento_Backend
"Web Site Information","Svetainės informacija",module,Magento_Backend
"Default Store","Numatytoji parduotuvė",module,Magento_Backend
Stores,Parduotuvės,module,Magento_Backend
"Create Website","Kurti svetainę",module,Magento_Backend
"Create Store","Kurti parduotuvę",module,Magento_Backend
"Create Store View","Kurti parduotuvės rodinį",module,Magento_Backend
Home,Pradžia,module,Magento_Backend
Reset,"Nustatyti iš naujo",module,Magento_Backend
Search,Ieškoti,module,Magento_Backend
"Date selector","Datos parinkiklis",module,Magento_Backend
"[ deleted ]","[ ištrinta ]",module,Magento_Backend
"Select All","Rinktis viską",module,Magento_Backend
" [deleted]"," [ištrinta]",module,Magento_Backend
"Add New","Pridėti naują",module,Magento_Backend
Export,Eksportuoti,module,Magento_Backend
Submit,Siųsti,module,Magento_Backend
"You did not sign in correctly or your account is temporarily disabled.","Prašome patikslinti prisijungimo duomenis, nepavykus prisijungti susisiekite su administratoriumi.",module,Magento_Backend
"Order #%1","Užsakymas #%1",module,Magento_Backend
password,slaptažodis,module,Magento_Backend
"Sign in",Prisijungti,module,Magento_Backend
"Reload Data","Atnaujinti duomenis",module,Magento_Backend
"Sign Out",Atsijungti,module,Magento_Backend
Previous,Ankstesnis,module,Magento_Backend
Next,Toliau,module,Magento_Backend
"per page","per puslapį",module,Magento_Backend
"Previous page","Ankstesnis puslapis",module,Magento_Backend
Actions,Veiksmai,module,Magento_Backend
"Are you sure you want to continue?","Ar tikrai norite tęsti?",module,Magento_Backup
"User Password","Vartotojo slaptažodis",module,Magento_Backup
"FTP Password","FTP slaptažodis",module,Magento_Backup
Country,Šalis,module,Magento_Braintree
"Credit Card Number","Kortelės numeris",module,Magento_Braintree
"Expiration Date","Galiojimo data",module,Magento_Braintree
"Card Verification Number","Kortelės patvirtinimo numeris",module,Magento_Braintree
Back,Grįžti,module,Magento_Braintree
"* Required Fields","* Privalomi laukai",module,Magento_Braintree
"Billing Address","Atsiskaitymo Adresas",module,Magento_Braintree
"First Name",Vardas,module,Magento_Braintree
"Last Name",Pavardė,module,Magento_Braintree
Company,Įmonė,module,Magento_Braintree
City,Miestas,module,Magento_Braintree
Submit,Siųsti,module,Magento_Braintree
Actions,Veiksmai,module,Magento_Braintree
Yes,Taip,module,Magento_Braintree
Edit,Redaguoti,module,Magento_Braintree
SKU,"Prekės kodas",module,Magento_Bundle
Price,Kaina,module,Magento_Bundle
Delete,Ištrinti,module,Magento_Bundle
N/A,N/D,module,Magento_Bundle
